"V1","V2"
"9/30/15","$18,150,617,666,484.30"
"9/30/14","$17,824,071,380,733.80"
"9/30/13","$16,738,183,526,697.30"
"9/30/12","$16,066,241,407,385.80"
"9/30/11","$14,790,340,328,557.10"
"9/30/10","$13,561,623,030,891.70"
"9/30/09","$11,909,829,003,511.70"
"9/30/08","$10,024,724,896,912.40"
"9/30/07","$9,007,653,372,262.48"
"9/30/06","$8,506,973,899,215.23"
"9/30/05","$7,932,709,661,723.50"
"9/30/04","$7,379,052,696,330.32"
"9/30/03","$6,783,231,062,743.62"
"9/30/02","$6,228,235,965,597.16"
"9/30/01","$5,807,463,412,200.06"
"9/30/00","$5,674,178,209,886.86"
